ticker,company_name,description
GD,General Dynamics Corporation,General Dynamics Corporation - Aerospace & Defense company in the Industrials sector.
GE,GE Aerospace,GE Aerospace - Aerospace & Defense company in the Industrials sector.
GWW,"W.W. Grainger, Inc.","W.W. Grainger, Inc. - Trading Companies & Distributors company in the Industrials sector."
HII,"Huntington Ingalls Industries, Inc.","Huntington Ingalls Industries, Inc. - Aerospace & Defense company in the Industrials sector."
HON,Honeywell International Inc.,Honeywell International Inc. - Industrial Conglomerates company in the Industrials sector.
HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc. - Aerospace & Defense company in the Industrials sector.
IEX,IDEX Corporation,IDEX Corporation - Industrial Machinery company in the Industrials sector.
IR,Ingersoll Rand Inc.,Ingersoll Rand Inc. - Industrial Machinery company in the Industrials sector.
ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc. - Industrial Machinery company in the Industrials sector.
J,Jacobs Solutions Inc.,Jacobs Solutions Inc. - Construction & Engineering company in the Industrials sector.
LHX,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc. - Aerospace & Defense company in the Industrials sector."
LII,Lennox International Inc.,Lennox International Inc. - Building Products company in the Industrials sector.
LMT,Lockheed Martin Corporation,Lockheed Martin Corporation - Aerospace & Defense company in the Industrials sector.
LUV,Southwest Airlines Co.,Southwest Airlines Co. - Passenger Airlines company in the Industrials sector.
MAS,Masco Corporation,Masco Corporation - Building Products company in the Industrials sector.
MMM,3M Company,3M Company - Industrial Conglomerates company in the Industrials sector.
NOC,Northrop Grumman Corporation,Northrop Grumman Corporation - Aerospace & Defense company in the Industrials sector.
NSC,Norfolk Southern Corporation,Norfolk Southern Corporation - Rail Transportation company in the Industrials sector.
ODFL,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc. - Cargo Ground Transportation company in the Industrials sector."
OTIS,Otis Worldwide Corporation,Otis Worldwide Corporation - Building Products company in the Industrials sector.
PCAR,PACCAR Inc,PACCAR Inc - Construction Machinery & Heavy Trucks company in the Industrials sector.
PH,Parker-Hannifin Corporation,Parker-Hannifin Corporation - Industrial Machinery company in the Industrials sector.
PNR,Pentair plc,Pentair plc - Industrial Machinery company in the Industrials sector.
PWR,"Quanta Services, Inc.","Quanta Services, Inc. - Construction & Engineering company in the Industrials sector."
RHI,Robert Half Inc.,Robert Half Inc. - Human Resource & Employment Services company in the Industrials sector.
ROK,"Rockwell Automation, Inc.","Rockwell Automation, Inc. - Electrical Components & Equipment company in the Industrials sector."
RPM,RPM International Inc.,RPM International Inc. - Specialty Chemicals company in the Industrials sector.
RSG,"Republic Services, Inc.","Republic Services, Inc. - Environmental & Facilities Services company in the Industrials sector."
RTX,RTX Corporation,RTX Corporation - Aerospace & Defense company in the Industrials sector.
SNA,Snap-on Incorporated,Snap-on Incorporated - Industrial Machinery company in the Industrials sector.
TDG,TransDigm Group Incorporated,TransDigm Group Incorporated - Aerospace & Defense company in the Industrials sector.
TXT,Textron Inc.,Textron Inc. - Aerospace & Defense company in the Industrials sector.
UAL,"United Airlines Holdings, Inc.","United Airlines Holdings, Inc. - Passenger Airlines company in the Industrials sector."
UBER,"Uber Technologies, Inc.","Uber Technologies, Inc. - Passenger Ground Transportation company in the Industrials sector."
UNP,Union Pacific Corporation,Union Pacific Corporation - Rail Transportation company in the Industrials sector.
UPS,"United Parcel Service, Inc.","United Parcel Service, Inc. - Air Freight & Logistics company in the Industrials sector."
URI,"United Rentals, Inc.","United Rentals, Inc. - Trading Companies & Distributors company in the Industrials sector."
VRT,Vertiv Holdings Co,Vertiv Holdings Co - Electrical Components & Equipment company in the Industrials sector.
WAB,Westinghouse Air Brake Technologies,Westinghouse Air Brake Technologies - Construction Machinery & Heavy Trucks company in the Industrials sector.
WM,"Waste Management, Inc.","Waste Management, Inc. - Environmental & Facilities Services company in the Industrials sector."
XYL,Xylem Inc.,Xylem Inc. - Industrial Machinery company in the Industrials sector.
AAPL,Apple Inc.,"Apple Inc. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
ACN,Accenture plc,Accenture plc - IT Consulting & Other Services company in the Information Technology sector.
ADBE,Adobe Inc.,Adobe Inc. - Application Software company in the Information Technology sector.
ADI,"Analog Devices, Inc.","Analog Devices, Inc. - Semiconductors company in the Information Technology sector."
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Application Software company in the Information Technology sector."
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Internet Services & Infrastructure company in the Information Technology sector."
AMAT,"Applied Materials, Inc.","Applied Materials, Inc. - Semiconductor Materials & Equipment company in the Information Technology sector."
AMD,"Advanced Micro Devices, Inc.",CPUs (Ryzen / EPYC) and AI accelerators (MI300 / MI325). Primary credible alternative to NVIDIA in data-center AI training and inference.
ANET,"Arista Networks, Inc.","Arista Networks, Inc. - Communications Equipment company in the Information Technology sector."
ANSS,"ANSYS, Inc.","ANSYS, Inc. - Application Software company in the Information Technology sector."
APH,Amphenol Corporation,Amphenol Corporation - Electronic Components company in the Information Technology sector.
AVGO,Broadcom Inc.,Broadcom Inc. - Semiconductors company in the Information Technology sector.
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc. - Application Software company in the Information Technology sector."
CDW,CDW Corporation,CDW Corporation - Technology Distributors company in the Information Technology sector.
CRM,"Salesforce, Inc.","Salesforce, Inc. - Application Software company in the Information Technology sector."
CRWD,CrowdStrike Holdings,"Cloud-native endpoint security (Falcon platform). Land-and-expand model with rising attach rate of identity, cloud, and log-management modules."
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc. - Communications Equipment company in the Information Technology sector."
CTSH,Cognizant Technology Solutions Corp.,Cognizant Technology Solutions Corp. - IT Consulting & Other Services company in the Information Technology sector.
DELL,Dell Technologies Inc.,"Dell Technologies Inc. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc. - Semiconductors company in the Information Technology sector."
EPAM,"EPAM Systems, Inc.","EPAM Systems, Inc. - IT Consulting & Other Services company in the Information Technology sector."
FFIV,"F5, Inc.","F5, Inc. - Communications Equipment company in the Information Technology sector."
FI,"Fiserv, Inc.","Fiserv, Inc. - Application Software company in the Information Technology sector."
FICO,Fair Isaac Corporation,Fair Isaac Corporation - Application Software company in the Information Technology sector.
FIS,"Fidelity National Info Services, Inc.","Fidelity National Info Services, Inc. - Application Software company in the Information Technology sector."
FSLR,"First Solar, Inc.","First Solar, Inc. - Semiconductors company in the Information Technology sector."
FTNT,"Fortinet, Inc.","Fortinet, Inc. - Systems Software company in the Information Technology sector."
GDDY,GoDaddy Inc.,GoDaddy Inc. - Internet Services & Infrastructure company in the Information Technology sector.
GEN,Gen Digital Inc.,Gen Digital Inc. - Systems Software company in the Information Technology sector.
GLW,Corning Incorporated,Corning Incorporated - Electronic Components company in the Information Technology sector.
HPE,Hewlett Packard Enterprise Co.,"Hewlett Packard Enterprise Co. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
HPQ,HP Inc.,"HP Inc. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
IBM,International Business Machines Corp.,International Business Machines Corp. - IT Consulting & Other Services company in the Information Technology sector.
INTC,Intel Corporation,Intel Corporation - Semiconductors company in the Information Technology sector.
INTU,Intuit Inc.,Intuit Inc. - Application Software company in the Information Technology sector.
IT,"Gartner, Inc.","Gartner, Inc. - IT Consulting & Other Services company in the Information Technology sector."
JBL,Jabil Inc.,Jabil Inc. - Electronic Manufacturing Services company in the Information Technology sector.
JNPR,"Juniper Networks, Inc.","Juniper Networks, Inc. - Communications Equipment company in the Information Technology sector."
KEYS,"Keysight Technologies, Inc.","Keysight Technologies, Inc. - Electronic Equipment & Instruments company in the Information Technology sector."
KLAC,KLA Corporation,KLA Corporation - Semiconductor Materials & Equipment company in the Information Technology sector.
LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc. - IT Consulting & Other Services company in the Information Technology sector."
LRCX,Lam Research Corporation,Lam Research Corporation - Semiconductor Materials & Equipment company in the Information Technology sector.
MCHP,Microchip Technology Incorporated,Microchip Technology Incorporated - Semiconductors company in the Information Technology sector.
MPWR,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc. - Semiconductors company in the Information Technology sector."
MSFT,Microsoft Corporation,"Cloud (Azure), productivity (M365 / Copilot), and Windows. Largest commercial AI distribution channel via Azure OpenAI and Copilot integration across the enterprise SKU stack."
MSI,"Motorola Solutions, Inc.","Motorola Solutions, Inc. - Communications Equipment company in the Information Technology sector."
MU,"Micron Technology, Inc.","Micron Technology, Inc. - Semiconductors company in the Information Technology sector."
NOW,"ServiceNow, Inc.","ServiceNow, Inc. - Application Software company in the Information Technology sector."
NTAP,"NetApp, Inc.","NetApp, Inc. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
NVDA,NVIDIA Corporation,"Designs GPUs and accelerated-computing platforms. Dominant supplier of training silicon for AI infrastructure; expanding into networking (InfiniBand / Spectrum-X) and software (CUDA, NIM, Omniverse)."
NXPI,NXP Semiconductors N.V.,NXP Semiconductors N.V. - Semiconductors company in the Information Technology sector.
ON,ON Semiconductor Corporation,ON Semiconductor Corporation - Semiconductors company in the Information Technology sector.
ORCL,Oracle Corporation,Oracle Corporation - Application Software company in the Information Technology sector.
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc. - Systems Software company in the Information Technology sector."
PAYC,"Paycom Software, Inc.","Paycom Software, Inc. - Application Software company in the Information Technology sector."
PAYX,"Paychex, Inc.","Paychex, Inc. - Application Software company in the Information Technology sector."
PLTR,Palantir Technologies,Foundry + AIP platforms for ontology-driven enterprise AI; concentrated US government and defense exposure plus a growing commercial book.
PTC,PTC Inc.,PTC Inc. - Application Software company in the Information Technology sector.
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated - Semiconductors company in the Information Technology sector.
QRVO,"Qorvo, Inc.","Qorvo, Inc. - Semiconductors company in the Information Technology sector."
ROP,"Roper Technologies, Inc.","Roper Technologies, Inc. - Application Software company in the Information Technology sector."
SMCI,"Super Micro Computer, Inc.","Super Micro Computer, Inc. - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
SNPS,"Synopsys, Inc.","Synopsys, Inc. - Application Software company in the Information Technology sector."
STX,Seagate Technology Holdings plc,"Seagate Technology Holdings plc - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc. - Semiconductors company in the Information Technology sector."
TER,"Teradyne, Inc.","Teradyne, Inc. - Semiconductor Materials & Equipment company in the Information Technology sector."
TRMB,Trimble Inc.,Trimble Inc. - Electronic Equipment & Instruments company in the Information Technology sector.
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated - Semiconductors company in the Information Technology sector.
TYL,"Tyler Technologies, Inc.","Tyler Technologies, Inc. - Application Software company in the Information Technology sector."
VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc. - Application Software company in the Information Technology sector."
VRSN,"VeriSign, Inc.","VeriSign, Inc. - Internet Services & Infrastructure company in the Information Technology sector."
WDAY,"Workday, Inc.","Workday, Inc. - Application Software company in the Information Technology sector."
WDC,Western Digital Corporation,"Western Digital Corporation - Technology Hardware, Storage & Peripherals company in the Information Technology sector."
ZBRA,Zebra Technologies Corp.,Zebra Technologies Corp. - Electronic Equipment & Instruments company in the Information Technology sector.
ALB,Albemarle Corporation,Albemarle Corporation - Specialty Chemicals company in the Materials sector.
AMCR,Amcor plc,Amcor plc - Paper & Plastic Packaging company in the Materials sector.
APD,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc. - Industrial Gases company in the Materials sector."
AVY,Avery Dennison Corporation,Avery Dennison Corporation - Paper & Plastic Packaging company in the Materials sector.
BALL,Ball Corporation,Ball Corporation - Metal & Glass Containers company in the Materials sector.
CE,Celanese Corporation,Celanese Corporation - Specialty Chemicals company in the Materials sector.
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc. - Fertilizers & Agricultural Chemicals company in the Materials sector."
DD,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc. - Specialty Chemicals company in the Materials sector."
DOW,Dow Inc.,Dow Inc. - Commodity Chemicals company in the Materials sector.
ECL,Ecolab Inc.,Ecolab Inc. - Specialty Chemicals company in the Materials sector.
EMN,Eastman Chemical Company,Eastman Chemical Company - Specialty Chemicals company in the Materials sector.
FCX,Freeport-McMoRan Inc.,Freeport-McMoRan Inc. - Copper company in the Materials sector.
FMC,FMC Corporation,FMC Corporation - Fertilizers & Agricultural Chemicals company in the Materials sector.
IFF,International Flavors & Fragrances,International Flavors & Fragrances - Specialty Chemicals company in the Materials sector.
IP,International Paper Company,International Paper Company - Paper & Plastic Packaging company in the Materials sector.
LIN,Linde plc,Linde plc - Industrial Gases company in the Materials sector.
LYB,LyondellBasell Industries N.V.,LyondellBasell Industries N.V. - Commodity Chemicals company in the Materials sector.
MLM,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc. - Construction Materials company in the Materials sector."
MOS,The Mosaic Company,The Mosaic Company - Fertilizers & Agricultural Chemicals company in the Materials sector.
NEM,Newmont Corporation,Newmont Corporation - Gold company in the Materials sector.
NUE,Nucor Corporation,Nucor Corporation - Steel company in the Materials sector.
PKG,Packaging Corporation of America,Packaging Corporation of America - Paper & Plastic Packaging company in the Materials sector.
PPG,"PPG Industries, Inc.","PPG Industries, Inc. - Specialty Chemicals company in the Materials sector."
SHW,The Sherwin-Williams Company,The Sherwin-Williams Company - Specialty Chemicals company in the Materials sector.
STLD,"Steel Dynamics, Inc.","Steel Dynamics, Inc. - Steel company in the Materials sector."
VMC,Vulcan Materials Company,Vulcan Materials Company - Construction Materials company in the Materials sector.
AMT,American Tower Corporation,American Tower Corporation - Telecom Tower REITs company in the Real Estate sector.
ARE,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc. - Office REITs company in the Real Estate sector."
AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc. - Multi-Family Residential REITs company in the Real Estate sector."
BXP,"BXP, Inc.","BXP, Inc. - Office REITs company in the Real Estate sector."
CBRE,"CBRE Group, Inc.","CBRE Group, Inc. - Real Estate Services company in the Real Estate sector."
CCI,Crown Castle Inc.,Crown Castle Inc. - Telecom Tower REITs company in the Real Estate sector.
CPT,Camden Property Trust,Camden Property Trust - Multi-Family Residential REITs company in the Real Estate sector.
CSGP,"CoStar Group, Inc.","CoStar Group, Inc. - Real Estate Services company in the Real Estate sector."
DLR,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc. - Data Center REITs company in the Real Estate sector."
DOC,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc. - Health Care REITs company in the Real Estate sector."
EQIX,"Equinix, Inc.","Equinix, Inc. - Data Center REITs company in the Real Estate sector."
EQR,Equity Residential,Equity Residential - Multi-Family Residential REITs company in the Real Estate sector.
ESS,"Essex Property Trust, Inc.","Essex Property Trust, Inc. - Multi-Family Residential REITs company in the Real Estate sector."
EXR,Extra Space Storage Inc.,Extra Space Storage Inc. - Self-Storage REITs company in the Real Estate sector.
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust - Retail REITs company in the Real Estate sector.
HST,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc. - Hotel & Resort REITs company in the Real Estate sector."
INVH,Invitation Homes Inc.,Invitation Homes Inc. - Single-Family Residential REITs company in the Real Estate sector.
IRM,Iron Mountain Incorporated,Iron Mountain Incorporated - Other Specialized REITs company in the Real Estate sector.
KIM,Kimco Realty Corporation,Kimco Realty Corporation - Retail REITs company in the Real Estate sector.
MAA,Mid-America Apartment Communities,Mid-America Apartment Communities - Multi-Family Residential REITs company in the Real Estate sector.
O,Realty Income Corporation,Realty Income Corporation - Other Specialized REITs company in the Real Estate sector.
PLD,"Prologis, Inc.","Prologis, Inc. - Industrial REITs company in the Real Estate sector."
PSA,Public Storage,Public Storage - Self-Storage REITs company in the Real Estate sector.
REG,Regency Centers Corporation,Regency Centers Corporation - Retail REITs company in the Real Estate sector.
SPG,"Simon Property Group, Inc.","Simon Property Group, Inc. - Retail REITs company in the Real Estate sector."
UDR,"UDR, Inc.","UDR, Inc. - Multi-Family Residential REITs company in the Real Estate sector."
VICI,VICI Properties Inc.,VICI Properties Inc. - Other Specialized REITs company in the Real Estate sector.
VTR,"Ventas, Inc.","Ventas, Inc. - Health Care REITs company in the Real Estate sector."
WELL,Welltower Inc.,Welltower Inc. - Health Care REITs company in the Real Estate sector.
WY,Weyerhaeuser Company,Weyerhaeuser Company - Timber REITs company in the Real Estate sector.
AEE,Ameren Corporation,Ameren Corporation - Multi-Utilities company in the Utilities sector.
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc. - Electric Utilities company in the Utilities sector."
AES,The AES Corporation,The AES Corporation - Independent Power Producers company in the Utilities sector.
ATO,Atmos Energy Corporation,Atmos Energy Corporation - Gas Utilities company in the Utilities sector.
AWK,"American Water Works Company, Inc.","American Water Works Company, Inc. - Water Utilities company in the Utilities sector."
CEG,Constellation Energy Corporation,Constellation Energy Corporation - Independent Power Producers company in the Utilities sector.
CMS,CMS Energy Corporation,CMS Energy Corporation - Multi-Utilities company in the Utilities sector.
CNP,"CenterPoint Energy, Inc.","CenterPoint Energy, Inc. - Multi-Utilities company in the Utilities sector."
D,"Dominion Energy, Inc.","Dominion Energy, Inc. - Multi-Utilities company in the Utilities sector."
DTE,DTE Energy Company,DTE Energy Company - Multi-Utilities company in the Utilities sector.
DUK,Duke Energy Corporation,Duke Energy Corporation - Electric Utilities company in the Utilities sector.
ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc. - Multi-Utilities company in the Utilities sector."
EIX,Edison International,Edison International - Electric Utilities company in the Utilities sector.
ES,Eversource Energy,Eversource Energy - Electric Utilities company in the Utilities sector.
ETR,Entergy Corporation,Entergy Corporation - Electric Utilities company in the Utilities sector.
EVRG,"Evergy, Inc.","Evergy, Inc. - Electric Utilities company in the Utilities sector."
EXC,Exelon Corporation,Exelon Corporation - Electric Utilities company in the Utilities sector.
FE,FirstEnergy Corp.,FirstEnergy Corp. - Electric Utilities company in the Utilities sector.
LNT,Alliant Energy Corporation,Alliant Energy Corporation - Electric Utilities company in the Utilities sector.
NEE,"NextEra Energy, Inc.","NextEra Energy, Inc. - Electric Utilities company in the Utilities sector."
NI,NiSource Inc.,NiSource Inc. - Multi-Utilities company in the Utilities sector.
NRG,"NRG Energy, Inc.","NRG Energy, Inc. - Independent Power Producers company in the Utilities sector."
PCG,PG&E Corporation,PG&E Corporation - Electric Utilities company in the Utilities sector.
PEG,Public Service Enterprise Group,Public Service Enterprise Group - Multi-Utilities company in the Utilities sector.
PNW,Pinnacle West Capital Corporation,Pinnacle West Capital Corporation - Electric Utilities company in the Utilities sector.
PPL,PPL Corporation,PPL Corporation - Electric Utilities company in the Utilities sector.
SO,The Southern Company,The Southern Company - Electric Utilities company in the Utilities sector.
SRE,Sempra,Sempra - Multi-Utilities company in the Utilities sector.
VST,Vistra Corp.,Vistra Corp. - Independent Power Producers company in the Utilities sector.
WEC,"WEC Energy Group, Inc.","WEC Energy Group, Inc. - Multi-Utilities company in the Utilities sector."
XEL,Xcel Energy Inc.,Xcel Energy Inc. - Multi-Utilities company in the Utilities sector.
