ticker,company_name,sector,sub_industry
DOC,"Healthpeak Properties, Inc.",Real Estate,Health Care REITs
EQIX,"Equinix, Inc.",Real Estate,Data Center REITs
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
ESS,"Essex Property Trust, Inc.",Real Estate,Multi-Family Residential REITs
EXR,Extra Space Storage Inc.,Real Estate,Self-Storage REITs
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
HST,"Host Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs
INVH,Invitation Homes Inc.,Real Estate,Single-Family Residential REITs
IRM,Iron Mountain Incorporated,Real Estate,Other Specialized REITs
KIM,Kimco Realty Corporation,Real Estate,Retail REITs
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
O,Realty Income Corporation,Real Estate,Other Specialized REITs
PLD,"Prologis, Inc.",Real Estate,Industrial REITs
PSA,Public Storage,Real Estate,Self-Storage REITs
REG,Regency Centers Corporation,Real Estate,Retail REITs
SPG,"Simon Property Group, Inc.",Real Estate,Retail REITs
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
VICI,VICI Properties Inc.,Real Estate,Other Specialized REITs
VTR,"Ventas, Inc.",Real Estate,Health Care REITs
WELL,Welltower Inc.,Real Estate,Health Care REITs
WY,Weyerhaeuser Company,Real Estate,Timber REITs
AEE,Ameren Corporation,Utilities,Multi-Utilities
AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities
AES,The AES Corporation,Utilities,Independent Power Producers
ATO,Atmos Energy Corporation,Utilities,Gas Utilities
AWK,"American Water Works Company, Inc.",Utilities,Water Utilities
CEG,Constellation Energy Corporation,Utilities,Independent Power Producers
CMS,CMS Energy Corporation,Utilities,Multi-Utilities
CNP,"CenterPoint Energy, Inc.",Utilities,Multi-Utilities
D,"Dominion Energy, Inc.",Utilities,Multi-Utilities
DTE,DTE Energy Company,Utilities,Multi-Utilities
DUK,Duke Energy Corporation,Utilities,Electric Utilities
ED,"Consolidated Edison, Inc.",Utilities,Multi-Utilities
EIX,Edison International,Utilities,Electric Utilities
ES,Eversource Energy,Utilities,Electric Utilities
ETR,Entergy Corporation,Utilities,Electric Utilities
EVRG,"Evergy, Inc.",Utilities,Electric Utilities
EXC,Exelon Corporation,Utilities,Electric Utilities
FE,FirstEnergy Corp.,Utilities,Electric Utilities
LNT,Alliant Energy Corporation,Utilities,Electric Utilities
NEE,"NextEra Energy, Inc.",Utilities,Electric Utilities
NI,NiSource Inc.,Utilities,Multi-Utilities
NRG,"NRG Energy, Inc.",Utilities,Independent Power Producers
PCG,PG&E Corporation,Utilities,Electric Utilities
PEG,Public Service Enterprise Group,Utilities,Multi-Utilities
PNW,Pinnacle West Capital Corporation,Utilities,Electric Utilities
PPL,PPL Corporation,Utilities,Electric Utilities
SO,The Southern Company,Utilities,Electric Utilities
SRE,Sempra,Utilities,Multi-Utilities
VST,Vistra Corp.,Utilities,Independent Power Producers
WEC,"WEC Energy Group, Inc.",Utilities,Multi-Utilities
XEL,Xcel Energy Inc.,Utilities,Multi-Utilities
